# -608257.273578
0. *NULL* 
-2.91650384399e-17 ,  _,
-5.76929992611 SBAR  COMP COMP S
-7.15268307702 SBAR  _if PRP _take NNS RP
-12.3001775538 SBAR  ADVP COMP S
-4.96063985842 SBAR  _how TO VB NP _*T*
-12.3001775538 SBAR  NP
-5.77075871557 SBAR  WHADVP _it _'s VP
-6.46244710667 SBAR  WHADJP NP _is _*T*
-12.3001775538 SBAR  WDT VP
-6.05795428838 SBAR  _*NULL* _for _you TO VB NP
-4.96063985842 SBAR  _what _that COP _*T*
-6.46244710667 SBAR  WHADJP NP _are _*T*
-5.77075871557 SBAR  _for S
-12.3001775538 SBAR  WHNP COMP S
-5.07834172854 SBAR  _if _you _break _it
-12.3001775538 SBAR  ADVP IN S
-5.07834172854 SBAR  WP NP _said _*T*
-5.3657803439 SBAR  WHNP PRP _'s VBG -NONE-
-4.96063985842 SBAR  WHADVP PRP COP ADJP _*T*
-7.14688595933 SBAR  COMP SBARQ
-4.45007400866 SBAR  COMP _you VP
-6.46244710667 SBAR  S CC NP VP
-4.96063985842 SBAR  WHADVP NP _is -NONE-
-4.67312013681 SBAR  _that VP
-5.21176877516 SBAR  _so NP _will _n't VP
-7.14688595933 SBAR  COMP FRAG
-12.3001775538 SBAR  COMP WHNP S
-7.15268307702 SBAR  NP AUX VP
-12.3001775538 SBAR  CC S
-7.15268307702 SBAR  _because _then PRP VP
-7.15268307702 SBAR  _what
-12.3001775538 SBAR  S CC S
-12.3001775538 SBAR  WHNP
-3.22657370543 SBAR  _that -NONE- VP
-6.45953589646 SBAR  S
-12.3001775538 SBAR  WHADP S
-4.21345963353 SBAR  WHADVP NP VP
-7.15268307702 SBAR  _just COMP S
-7.14688595933 SBAR  WHADJP S
-4.85534427994 SBAR  WHNP _it COP -NONE-
-5.21176877516 SBAR  WP S
-12.3001775538 SBAR  COMP COMP COMP S
-6.46244710667 SBAR  COMP NP TO VB
-3.28719116148 SBAR  WP -NONE- VP
-12.3001775538 SBAR  WHNP NP
-12.3001775538 SBAR  WHADVP SINV
-5.07834172854 SBAR  WHADVP NP VBZ -NONE-
-7.15268307702 SBAR  RB NP VP
-12.3001775538 SBAR  WHNP PP
-12.3001775538 SBAR  ADVP COMP
-4.59311489846 SBAR  WHNP -NONE- VP
-7.14688595933 SBAR  NP S
-12.3001775538 SBAR  ADVP S
-12.3001775538 SBAR  IN S VP SBAR
-5.54790717769 SBAR  _so _that NP _will _n't VP
-5.54790717769 SBAR  _when NP COP NP -NONE-
-7.15268307702 SBAR  WHADVP _you VP
-7.14688595933 SBAR  IN IN S
-5.21176877516 SBAR  WP VP
-5.54790717769 SBAR  _if NP VP
-6.05795428838 SBAR  _because NP ADVP VP
-5.21176877516 SBAR  _when NP VP
-7.14688595933 SBAR  COMP S CC NOT
-5.07834172854 SBAR  _if PRP VBP
-5.54673963523 SBAR  WHNP VP
-3.49480241492 SBAR  PRP VP
-4.32495671518 SBAR  _so PRP MD VP
-5.77075871557 SBAR  _that S
-6.46244710667 SBAR  COMP COMP COMP NP VP
-6.46244710667 SBAR  IN NP VP
-12.3001775538 SBAR  COMP
-5.76929992611 SBAR  NP VP
-4.76008723369 SBAR  WHADVP NP VBP -NONE-
-3.63198148888 SBAR  _that PRP VP
-5.3657803439 SBAR  _when S
-6.45953589646 SBAR  -NONE-
-6.45953589646 SBAR  WHADVP
-12.3001775538 SBAR  FRAG
-7.15268307702 SBAR  _for NP VP
-4.16219709938 SBAR  WHNP NP VP
-6.46244710667 SBAR  WHNP _of NN
-2.65863935185 SBAR  _if _you VP
-12.3001775538 SBAR  COMP S VP SBAR
-5.77075871557 SBAR  _like NP VP
-12.3001775538 SBAR  IN S
-7.14688595933 SBAR  COMP PP
-6.05795428838 SBAR  WHADVP EX COP NP -NONE-
-5.07834172854 SBAR  _because PRP VP
-4.59311489846 SBAR  _if _he VP
-4.67312013681 SBAR  _for _you TO VP
-4.51903904399 SBAR  _if NP COP ADJP
-4.11371312441 SBAR  _*NULL* _you VP
-7.15268307702 SBAR  RB COMP
-2.95373409886 SBAR  COMP PRP VP
-6.46244710667 SBAR  RB _if S
-5.76929992611 SBAR  COMP NP
-2.81463263092 SBAR  WHADVP PRP VP
-7.15268307702 SBAR  WHNP COMP PRP VP
-6.46244710667 SBAR  _what NP
-12.3001775538 SBAR  WHADV S
-3.09786935355 SBAR  _if PRP VP
-5.54790717769 SBAR  _*NULL* TO VB -NONE-
-5.77075871557 SBAR  _*NULL* PRP VBZ -NONE-
-7.14688595933 SBAR  WHNP ADJP PRT
-7.14688595933 SBAR  SBAR CC SBAR
-4.02251139298 SBAR  COMP NP VP
-5.07834172854 SBAR  COMP NP MD VB
-7.14688595933 SBAR  NP IN S
-7.15268307702 SBAR  _because S
-5.21176877516 SBAR  _because NP COP ADJP
-4.67312013681 SBAR  _when _you VBP NP _*T*
-6.46244710667 SBAR  _because S VP SBAR
-5.3657803439 SBAR  _*NULL* NP VP
-3.72433816698 SBAR  _*NULL* TO VP
-6.46244710667 SBAR  _because NP VP
-5.54790717769 SBAR  WP NP VBD -NONE-
-6.05795428838 SBAR  _what _it _says NP
-4.21376727851 SBAR  _what NP _is _*T*
-7.14688595933 SBAR  WHPP S
-3.22657370543 SBAR  WHNP PRP VP
-12.3001775538 SBAR  IN S CC S
-3.93940428169 SBAR  _that NP VP
-7.15268307702 SBAR  _that COP NP
-7.15268307702 SBAR  _because NP _'s NP
-6.45953589646 SBAR  COMP S CC S
-6.46244710667 SBAR  _because NP VP CC S
-3.28719116148 SBAR  _*NULL* PRP VP
-6.46244710667 SBAR  COMP _this VBZ NP
-5.2109343988 SBAR  WHADVP S
-4.02276555488 SBAR  _*NULL* _*T* VP
-5.21176877516 SBAR  WHNP _you VBP -NONE-
-6.46244710667 SBAR  COMP _*NULL* NP VP
-12.3001775538 SBAR  SBAR SBAR
-5.77075871557 SBAR  _where NP _live -NONE-
-11.1960479909 SBARQ  INTJ , WHNP SQ .
-3.30883940509 SBARQ  WHADVP _did _you VB NP ADVP .
-5.29889412327 SBARQ  S _, _but SBARQ _?
-11.1960479909 SBARQ  WHADVP SQ ADVP .
-11.1960479909 SBARQ  INTJ , CC WHADVP SQ .
-4.60712151337 SBARQ  _why AUX NOT NP VP .
-11.1960479909 SBARQ  WHNP SQ SBAR .
-6.39202694617 SBARQ  INTJ , SBAR WHADVP SQ _?
-4.09684624735 SBARQ  WP NP VP .
-11.1960479909 SBARQ  S , CC SBARQ .
-6.39202694617 SBARQ  WHADVP SQ , _Adam _?
-11.1960479909 SBARQ  WHNP SQ ADVP .
-4.60712151337 SBARQ  _why AUX NOT NP VP
-3.45408009108 SBARQ  WHNP SQ
-11.1960479909 SBARQ  WHNP S .
-11.1960479909 SBARQ  VP .
-6.39202694617 SBARQ  SBAR _where SQ
-3.0677578193 SBARQ  _how _do _you VP _?
-6.39202694617 SBARQ  INTJ WHADVP SQ _?
-5.70298654757 SBARQ  _and WHNP SQ _?
-4.78751919985 SBARQ  INTJ WHNP SQ .
-11.1960479909 SBARQ  CC WHNP SQ .
-11.1960479909 SBARQ  SBARQ CC SBARQ .
-4.45316735511 SBARQ  _then _what SQ _?
-4.45316735511 SBARQ  _now _what SQ .
-4.60712151337 SBARQ  SBAR WHNP SQ _?
-6.39202694617 SBARQ  _what SQ SBAR .
-6.39202694617 SBARQ  _you _what _?
-3.56607228388 SBARQ  WHNP SQ .
-11.1960479909 SBARQ  SBAR WHNP SQ .
-5.01189909997 SBARQ  WP SQ _?
-6.39202694617 SBARQ  VB WP _?
-4.09684624735 SBARQ  WHADJP SQ _?
-11.1960479909 SBARQ  SQ
-11.1960479909 SBARQ  SBAR WHADVP SQ
-11.1960479909 SBARQ  WHADJP SQ .
-2.61588000033 SBARQ  _why AUX _n't _you VP .
-11.1960479909 SBARQ  ADVP WHADVP SQ .
-11.1960479909 SBARQ  SBAR WHADVP SQ .
-4.78916800484 SBARQ  _now WHADVP SQ .
-5.01189909997 SBARQ  _what _are NP VBG -NONE- ADVP _?
-1.71804969831 SBARQ  WP _*T* VP _?
-11.1960479909 SBARQ  WHNP .
-2.15152610362 SBARQ  WHNP SQ _?
-4.09684624735 SBARQ  WHADVP SQ _?
-5.70298654757 SBARQ  UH , CC WHADVP SQ .
-11.1960479909 SBARQ  ADVP , WHNP SQ .
-11.1960479909 SBARQ  NP , WHADVP SQ .
-5.01189909997 SBARQ  _where SQ _?
-11.1960479909 SBARQ  WHNP ADVP SQ .
-11.1960479909 SBARQ  WHADVP SQ , INTJ .
-6.38386363553 SBARQ  VP
-5.29889412327 SBARQ  WP VP _?
-11.1960479909 SBARQ  WHADVP S .
-3.83467256193 SBARQ  _what SQ
-11.1960479909 SBARQ  WHADVP SQ , NP .
-11.1960479909 SBARQ  NP , INTJ , NP , WHNP SQ .
-11.1960479909 SBARQ  NP WHNP
-6.38386363553 SBARQ  NP VP
-5.70298654757 SBARQ  S _, CC SBARQ .
-5.29889412327 SBARQ  WRB SQ CC SBARQ .
-11.1960479909 SBARQ  -NONE-
-6.38386363553 SBARQ  NP ADVP VP _\ .
-11.1960479909 SBARQ  NP VP .
-6.38386363553 SBARQ  SBAR WHNP SQ
-6.39202694617 SBARQ  WHNP SQ _, _Adam _?
-5.70298654757 SBARQ  PRP WP
-5.70298654757 SBARQ  ADVP _, _what AUX DT _doggie VP .
-6.39202694617 SBARQ  INTJ , INTJ , WHADVP SQ _?
-5.70298654757 SBARQ  SBAR WHADVP SQ _?
-6.38386363553 SBARQ  SBARQ CC S
-5.01189909997 SBARQ  WHADVP MD NP VP .
-3.56655807451 SBARQ  _where COP NP _*T* _?
-11.1960479909 SBARQ  INTJ , WHADVP SQ .
-6.38386363553 SBARQ  SBAR , WHNP SQ .
-6.39202694617 SBARQ  NP , _no , NP , WHNP SQ _?
-5.70298654757 SBARQ  _it COP PP .
-5.01189909997 SBARQ  _why VP .
-5.29615063732 SBARQ  _what SQ _?
-5.70298654757 SBARQ  WHPP SQ _?
-5.29889412327 SBARQ  NP VP CC SBARQ .
-11.1960479909 SBARQ  WHPP SQ .
-2.84467328418 SBARQ  WRB SQ _?
-11.1960479909 SBARQ  WHADV SQ .
-6.39202694617 SBARQ  _where SQ ADVP _?
-3.91466232734 SBARQ  _why AUX _you VP _?
-11.1960479909 SBARQ  NP WHNP .
-3.35534153916 SBARQ  WP _'s NP -NONE- _?
-11.1960479909 SBARQ  S CC SBARQ .
-4.00086067073 SBARQ  WHADVP SQ .
-11.1960479909 SBARQ  WHNP SQ VP .
-11.1960479909 SBARQ  ADVP NP VP .
-11.1960479909 SBARQ  WHADVP SQ
-11.1960479909 SBARQ  ADVP WHNP SQ
-11.1960479909 SBARQ  INTJ , SBAR WHADVP SQ .
-5.70298654757 SBARQ  WRB VP , UH .
-11.1960479909 SBARQ  INTJ WHADVP SQ .
-5.29889412327 SBARQ  WP COP NP PRP VP .
-5.00983936701 SBARQ  WHNP SQ , NP .
-11.1960479909 SBARQ  INTJ , INTJ , WHADVP SQ .
-5.70298654757 SBARQ  WHNP SQ VP _?
-4.00161113981 SBARQ  WRB SQ
-3.76060997109 SBARQ  WHADVP MD _you VP .
-4.45198880459 SBARQ  ADVP WHNP SQ .
-6.39202694617 SBARQ  _who VP _?
-7.92298595871 SINV  ADVP ADVP VP .
-2.58544787901 SINV  ADVP VP _.
-7.92298595871 SINV  NP VP
-7.92298595871 SINV  VP .
-1.04878746326 SINV  _here _'s NP _.
-7.92298595871 SINV  INTJ , ADVP VP .
-2.83538962348 SINV  _here VP
-7.92298595871 SINV  ADVP VP NP .
-7.92298595871 SINV  NP VP .
-4.072838357 SINV  RB PRP COP
-2.14533363549 SINV  _here COP NP .
-7.92298595871 SINV  ADVP VP
-3.67449071666 SINV  _neither AUX _I .
-4.70411013384 SINV  SINV CC SINV .
-2.07654718365 SINV  ADVP PRP COP .
-7.92298595871 SINV  ADVP NP VP .
-7.92298595871 SINV  ADVP NP VP
-4.74493212836 SINV  ADVP ADVP VP _.
-1.64822393747 SINV  ADVP VP .
-4.072838357 SINV  _there COP NP _.
-7.92298595871 SINV  CC VP .
-13.3652907323 SQ  VP , INTJ .
-13.3652907323 SQ  VP NP VP
-13.3652907323 SQ  INTJ VP .
-6.12177775764 SQ  _does _she VP
-6.12177775764 SQ  _are PRP _writing -NONE-
-5.08078650505 SQ  _can PRP VP
-3.47155053123 SQ  _did PRP VP
-5.08078650505 SQ  AUX _you VP
-7.21896147464 SQ  _can _n't NP VP .
-4.86952548831 SQ  AUX NP _go -NONE-
-6.52688553146 SQ  _is NP SBAR _*T*
-4.96958743848 SQ  COP NOT _it _?
-6.81421039726 SQ  COP _it NP _?
-7.21896147464 SQ  MD PRP _like S _?
-6.81421039726 SQ  AUX PRP VBG _*T* _with NP
-4.15295235767 SQ  COP NP
-7.90996961695 SQ  _shall _we VP .
-7.21896147464 SQ  AUX NP _have NP _?
-7.21896147464 SQ  AUX _n't PRP .
-4.44838226476 SQ  _'re _you VBG TO VP
-6.52688553146 SQ  _did _you VP _?
-7.90570521816 SQ  ADVP VP
-13.3652907323 SQ  MD NP VP .
-4.91830543594 SQ  _is NP VP
-7.90996961695 SQ  AUX PRP .
-7.90570521816 SQ  PP NP VP .
-6.3039563654 SQ  MD PRP VP .
-7.90996961695 SQ  _did PRP VP _?
-4.12986757996 SQ  _*T* VP
-5.96772919678 SQ  _are _you VBG -NONE- PP
-6.52688553146 SQ  AUX NP VB -NONE-
-5.42898803911 SQ  AUX NP VBG -NONE-
-7.90996961695 SQ  NP _is VP .
-7.90996961695 SQ  _oh VP .
-7.90996961695 SQ  _can PRP VB NP _?
-6.12177775764 SQ  _did _you VB NP ADVP
-7.21896147464 SQ  _do _you _call SBAR _*T*
-13.3652907323 SQ  VP VP .
-13.3652907323 SQ  ADVP VP .
-7.90996961695 SQ  COP NP PRP VP
-5.61123809327 SQ  _is PRP VBG -NONE-
-7.21896147464 SQ  _do _you _want _to VP _?
-13.3652907323 SQ  S , SQ .
-2.27588233605 SQ  _is _that _*T*
-7.90570521816 SQ  CC VP .
-3.25077269634 SQ  _*T* VBD
-6.81421039726 SQ  AUX _n't _you VP CC _see WHNP NP VP ADVP
-6.52688553146 SQ  NP VP _?
-4.06401336534 SQ  _is NP _*T*
-5.51596691427 SQ  _is PRP _?
-6.1210632167 SQ  NP VP
-7.90996961695 SQ  AUX PRP VB NP PP _?
-7.90996961695 SQ  MD _you VP
-13.3652907323 SQ  NP VP INTJ .
-6.12177775764 SQ  _can PRP VP _?
-7.21896147464 SQ  MD _I VP _?
-5.08078650505 SQ  _are PRP _going S
-6.3039563654 SQ  _is NP _going _*T*
-6.81421039726 SQ  _did _Adam VP
-6.81421039726 SQ  -NONE- VP
-13.3652907323 SQ  VP NP NP
-7.90996961695 SQ  COP _that NP _?
-6.1210632167 SQ  SQ CC SQ .
-7.90996961695 SQ  _does NP VP _?
-7.90996961695 SQ  _it VP .
-13.3652907323 SQ  VP SBAR .
-7.90996961695 SQ  AUX _n't NP .
-7.90996961695 SQ  _are NP ADJP _?
-7.90570521816 SQ  SQ CC SQ CC SQ .
-6.12177775764 SQ  MD NP _?
-7.21896147464 SQ  VP _, _ok _?
-7.90996961695 SQ  _did NP VB _?
-7.90996961695 SQ  _you _'re VP .
-4.91830543594 SQ  _shall PRP VP
-6.52688553146 SQ  _is _she VP
-7.90996961695 SQ  _are PRP NP _?
-13.3652907323 SQ  NP ADVP VP .
-5.96772919678 SQ  COP NP PP -NONE-
-3.9628435028 SQ  COP NP _*T*
-6.12177775764 SQ  MD NP VP
-7.21896147464 SQ  COP NOT NP _?
-5.42898803911 SQ  -NONE- COP PP
-7.90996961695 SQ  COP _that _a NN .
-6.52688553146 SQ  AUX NP _see
-6.52688553146 SQ  _are _they VBG -NONE-
-6.12177775764 SQ  _did _what VP
-7.90996961695 SQ  _is EX NP IN DT NN .
-4.15295235767 SQ  _are NP _*T*
-13.3652907323 SQ  INTJ , VP .
-5.61123809327 SQ  _was _it -NONE-
-7.90996961695 SQ  _can NP VP _?
-6.81421039726 SQ  AUX _n't _you VP
-7.90996961695 SQ  _is NP NP _?
-7.90996961695 SQ  AUX PRP VP _?
-7.90996961695 SQ  COP NP ADJP .
-5.71655094335 SQ  AUX _you _do -NONE- PP
-7.90996961695 SQ  _are NP NP .
-13.3652907323 SQ  VP , NP .
-13.3652907323 SQ  , NP VP .
-7.90996961695 SQ  _is NP PP _?
-5.20591599553 SQ  _'re PRP VP
-6.81421039726 SQ  _would PRP VP .
-13.3652907323 SQ  INTJ , NP VP .
-4.303218377 SQ  AUX PRP VP
-7.90996961695 SQ  _are NP VBG NP .
-6.52688553146 SQ  MD NP ADVP
-7.90996961695 SQ  AUX _you _want _to VP .
-4.73601963749 SQ  MD NP VB _*T*
-7.90996961695 SQ  _oh , _you _'re VBG PP .
-7.21896147464 SQ  MD PRP _say VP _.
-5.71655094335 SQ  _am _I VP
-7.90996961695 SQ  AUX NP VP _?
-7.90996961695 SQ  COP _that SBAR .
-3.53217199744 SQ  _are _you _doing _*T*
-5.71321998619 SQ  VP .
-4.86952548831 SQ  MD PRP VP
-7.90996961695 SQ  AUX _n't _he VP .
-4.22526553425 SQ  _'s NP -NONE-
-6.3039563654 SQ  AUX NP _do _*T*
-13.3652907323 SQ  SBARQ VP .
-7.90996961695 SQ  _will NP VP _?
-4.77857147824 SQ  AUX PRP VBG IN _*T*
-6.52688553146 SQ  AUX NNS VP
-13.3652907323 SQ  SBAR VP .
-4.91809091271 SQ  AUX NP VP
-5.83427440023 SQ  _is NP -NONE- ADVP
-7.90996961695 SQ  COP _n't _that NP _?
-6.12177775764 SQ  _'re _you VBG -NONE-
-5.71655094335 SQ  _do _you _have
-13.3652907323 SQ  INTJ NP VP .
-5.96772919678 SQ  _are NOT PRP _?
-6.12177775764 SQ  _did NP VB _*T* PP
-2.70474267347 SQ  AUX _you VB _*T*
-4.61825646813 SQ  AUX PRP _?
-7.90996961695 SQ  PRP _'re VP .
-13.3652907323 SQ  ADVP NP VP
-13.3652907323 SQ  VP , NP PP .
-13.3652907323 SQ  SBAR .
-7.90570521816 SQ  VP INTJ .
-6.81421039726 SQ  COP _that SBAR NP
-4.82301476052 SQ  COP _that _*T*
-7.90570521816 SQ  SQ , SQ CC SQ .
-5.27488843571 SQ  _'s NP _name _*T*
-5.71655094335 SQ  _does _he VB _*T*
-4.02234439578 SQ  _does NP VP
-3.00894570936 SQ  _is _it -NONE-
-5.42898803911 SQ  _did _you VB -NONE- PP
-5.14139535213 SQ  _does NP _say _*T*
-13.3652907323 SQ  CC NP VP .
-7.90996961695 SQ  AUX DT _doggie VP
-7.90570521816 SQ  MD NP VP , INTJ .
-6.81421039726 SQ  _are NP JJ ADVP
-3.41439492238 SQ  _is _this -NONE-
-4.91830543594 SQ  COP _that
-7.90996961695 SQ  _is _that NP _?
-5.71512203146 SQ  VP _?
-3.25048932421 SQ  VP
-7.21896147464 SQ  _do _you _want _to VP _, NP PP .
-7.90996961695 SQ  _do _you VB DT NN _?
-7.90996961695 SQ  _is PRP _alright _?
-5.3489728338 SQ  _did NP VB _*T*
-13.3652907323 SQ  VP NP .
-13.3652907323 SQ  -NONE-
-4.77857147824 SQ  _will PRP VP
-2.86434124935 SQ  _do _you VP
-13.3652907323 SQ  NP VP .
-6.3039563654 SQ  _would _you VB _to VP _?
-4.5129118458 SQ  _*T* _happened _to NP
-6.81278284527 SQ  AUX NOT NP VP
-6.52688553146 SQ  COP NP ADJP ADVP
-6.81421039726 SQ  _did NP VB
-6.3039563654 SQ  MD _you _?
-4.20057553836 SQ  _would _you VP
-7.90996961695 SQ  _do NOT _you VP .
-13.3652907323 SQ  WHNP VP .
-3.94387939025 SQ  _does NP VB _*T*
-5.61123809327 SQ  _'s NP _doing -NONE-
-13.3652907323 SQ  VP NP
-7.90996961695 SQ  _that COP NP _?
-3.906841063 SQ  _do PRP _think NP COP _*T*
-5.20591599553 SQ  _do PRP _mean _*T*
-6.3039563654 SQ  AUX _you _have -NONE- IN PRP$ NN
-6.3039563654 SQ  COP NP NP ADVP
-5.71655094335 SQ  AUX _n't PRP _?
-13.3652907323 SQ  ADVP NP VP .
-6.81421039726 SQ  _is _that NP _*T*
-4.35878160061 SQ  _are _you VP
-7.90570521816 SQ  NP SBAR VP
-4.73601963749 SQ  _'re PRP _doing -NONE-
-6.52688553146 SQ  MD _you VP .
-7.21896147464 SQ  _would NP _like NP _?
-13.3652907323 SQ  S CC SQ .
-7.90996961695 SQ  NN VP .
-4.06401336534 SQ  _are NP VBG -NONE-
-6.30309910002 SQ  COP NP .
-6.52688553146 SQ  _did NP _say NP COP -NONE-
-6.81421039726 SQ  MD NP VP _?
-5.08078650505 SQ  _do _you VP _?
-6.52688553146 SQ  _shall _I VP _?
-7.90996961695 SQ  _you VP _?
-2.87287271365e-17 START  ROOT
-4.09794698957 TO  _To
-0.0229484659796 TO  _to
-5.10268176343 TO  _ta
-6.4559622897 UH  _whooo
-7.55105963626 UH  _thanks
-6.86054750334 UH  _beep
-5.95007843384 UH  _huh
-6.8631895128 UH  _presto
-3.73276910849 UH  _alright
-3.97782734251 UH  _hello
-6.17269134041 UH  _goodbye
-7.55105963626 UH  _OH
-3.94957440753 UH  _well
-6.4559622897 UH  _clucko
-7.55105963626 UH  _nightnight
-6.17269134041 UH  _meowo
-7.55105963626 UH  _beep_beep
-5.07584896371 UH  _quack
-4.92182482612 UH  _whoops
-7.55105963626 UH  _hey
-4.92182482612 UH  _gobble
-5.6134545557 UH  _ok
-7.55105963626 UH  _aah
-6.17269134041 UH  _sure
-7.55105963626 UH  _cock_a_doodle_doo
-2.57041341239 UH  _oh
-6.8631895128 UH  _uhuh
-0.934867636085 UH  _yes
-7.55105963626 UH  _byebye
-6.86054750334 UH  _oinko
-7.55105963626 UH  _ah
-5.95007843384 UH  _ring
-5.95007843384 UH  _yep
-6.8631895128 UH  _why
-7.55105963626 UH  _quacko
-7.55105963626 UH  _bye
-7.55105963626 UH  _cock_a_doodle_dooo
-6.16872045498 UH  _cluck
-6.45948963022 UH  _ssh
-7.55105963626 UH  _ahhah
-4.15955823183 UH  _please
-6.8631895128 UH  _ow
-6.45948963022 UH  _right
-7.55105963626 UH  _now
-7.55105963626 UH  _so
-6.8631895128 UH  _nope
-7.55105963626 UH  _um
-2.71737089651 UH  _mmhm
-6.8631895128 UH  _peekaboo
-7.55105963626 UH  _amen
-5.48087130006 UH  _ouch
-7.55105963626 UH  _here
-6.17269134041 UH  _awoh
-1.21581876537 UH  _no
-7.55105963626 UH  _oops
-6.8631895128 UH  _mm
-6.86054750334 UH  _da
-7.55105963626 UH  _growlo
-7.55105963626 UH  _boy
-7.55105963626 UH  _good
-6.8631895128 UH  _my
-5.95007843384 UH  _hhmm
-7.55105963626 UH  _hmm
-5.25799338827 UH  _yeah
-5.07584896371 UH  _hi
-6.21406942523 VB  _cry
-5.5208500972 VB  _sit
-6.50165530221 VB  _catch
-4.60471809663 VB  _show
-7.59949836007 VB  _brush
-8.29149280275 VB  _warm
-4.68275686784 VB  _give
-5.80870052184 VB  _run
-4.76737116098 VB  _eat
-8.29149280275 VB  _lead
-6.50165530221 VB  _swing
-5.20265218514 VB  _fit
-5.72867261572 VB  _finish
-8.29149280275 VB  _rewind
-8.29149280275 VB  _choose
-8.29149280275 VB  _plug
-5.65449486675 VB  _pretend
-7.59949836007 VB  _smell
-4.60486241968 VB  _read
-8.29149280275 VB  _meow
-8.29149280275 VB  _point
-7.59949836007 VB  _exercise
-5.80870052184 VB  _wash
-4.96147138478 VB  _push
-7.1944177934 VB  _match
-7.59949836007 VB  _grind
-8.29149280275 VB  _cost
-5.89558945806 VB  _talk
-5.52106655522 VB  _leave
-5.89569440637 VB  _learn
-5.1581045897 VB  _hurt
-8.29149280275 VB  _notice
-8.29149280275 VB  _times
-7.59949836007 VB  _plant
-8.29149280275 VB  _hand
-7.59949836007 VB  _become
-7.59949836007 VB  _sew
-5.46045042291 VB  _open
-7.1944177934 VB  _sound
-5.58559545501 VB  _drink
-8.29149280275 VB  _operate
-6.21406942523 VB  _start
-8.29149280275 VB  _beat
-7.1944177934 VB  _explain
-7.1944177934 VB  _lock
-8.29149280275 VB  _ship
-8.29149280275 VB  _intend
-8.29149280275 VB  _matter
-8.29149280275 VB  _scream
-4.82799153775 VB  _cut
-7.59949836007 VB  _chug
-4.18267968401 VB  _take
-3.19991481615 VB  _have
-8.29149280275 VB  _tip
-8.29149280275 VB  _seek
-5.15820498627 VB  _work
-4.25068756736 VB  _blow
-7.59949836007 VB  _blast
-6.90692804713 VB  _pop
-5.20265218514 VB  _hear
-4.76730324235 VB  _break
-7.59949836007 VB  _care
-6.90692804713 VB  _smoke
-6.34755959009 VB  _attach
-6.68389990929 VB  _spank
-5.89569440637 VB  _press
-4.13488044069 VB  _try
-6.68389990929 VB  _kick
-4.00318199741 VB  _know
-7.59949836007 VB  _bake
-6.90692804713 VB  _screw
-8.29149280275 VB  _juggle
-6.21406942523 VB  _pay
-6.68389990929 VB  _mail
-6.90692804713 VB  _share
-8.29149280275 VB  _color
-8.29149280275 VB  _chase
-3.41847007289 VB  _go
-5.99098359563 VB  _fly
-8.29149280275 VB  _love
-7.1944177934 VB  _back
-8.29149280275 VB  _crack
-6.21406942523 VB  _climb
-6.21406942523 VB  _spit
-5.99098359563 VB  _understand
-8.29149280275 VB  _clear
-6.90692804713 VB  _kiss
-8.29149280275 VB  _rinse
-7.1944177934 VB  _excuse
-6.90692804713 VB  _unscrew
-7.1944177934 VB  _ski
-6.68389990929 VB  _fill
-7.59949836007 VB  _feed
-3.89925066729 VB  _make
-4.6299419208 VB  _look
-4.38173041511 VB  _throw
-8.29149280275 VB  _dig
-8.29149280275 VB  _roar
-5.99098359563 VB  _change
-8.29149280275 VB  _spoil
-8.29149280275 VB  _enjoy
-7.59949836007 VB  _flash
-3.10074012017 VB  _see
-6.50165530221 VB  _clean
-8.29149280275 VB  _hammer
-8.29149280275 VB  _growl
-7.1944177934 VB  _add
-6.50165530221 VB  _surprise
-3.22481552253 VB  _do
-8.29149280275 VB  _drip
-5.15815478673 VB  _wait
-4.68275686784 VB  _need
-7.1944177934 VB  _lift
-3.50623088673 VB  _say
-6.90692804713 VB  _swallow
-7.1944177934 VB  _believe
-8.29149280275 VB  _shame
-5.99086815552 VB  _count
-7.59949836007 VB  _print
-7.59949836007 VB  _injure
-4.89233282545 VB  _ask
-7.59949836007 VB  _fasten
-6.21406942523 VB  _fight
-7.59949836007 VB  _rub
-8.29149280275 VB  _end
-5.89569440637 VB  _jump
-8.29149280275 VB  _sting
-4.92638433071 VB  _fall
-6.34755959009 VB  _pour
-6.90692804713 VB  _snap
-7.1944177934 VB  _chew
-7.59949836007 VB  _examine
-8.29149280275 VB  _pedal
-5.46038250889 VB  _stay
-8.29149280275 VB  _disappear
-6.34755959009 VB  _reach
-7.59949836007 VB  _gobble
-4.65615267547 VB  _remember
-4.99740691411 VB  _let
-4.6048335534 VB  _draw
-5.72849501159 VB  _stop
-4.46508290643 VB  _keep
-6.34755959009 VB  _check
-8.29149280275 VB  _sweep
-7.59949836007 VB  _crawl
-8.29149280275 VB  _jerk
-8.29149280275 VB  _comb
-6.68389990929 VB  _stick
-5.52106655522 VB  _sing
-6.68389990929 VB  _shake
-15.0576845174 VB  _does
-6.50146293903 VB  _touch
-5.89569440637 VB  _buy
-7.59949836007 VB  _spin
-8.29149280275 VB  _repair
-7.59949836007 VB  _serve
-8.29149280275 VB  _tangle
-7.1944177934 VB  _burn
-5.80870052184 VB  _walk
-8.29149280275 VB  _skip
-6.90692804713 VB  _frighten
-6.68389990929 VB  _dry
-5.89569440637 VB  _fold
-7.59949836007 VB  _shell
-4.04505695432 VB  _think
